category,Number of genes,Percentage,Genes
cytoskeletal protein (PC00085),21,0.002,0.002
transporter (PC00227),904,0.09,0.09
scaffold/adaptor protein (PC00226),28,0.003,0.003
DNA metabolism protein (PC00009),152,0.015,0.015
intercellular signal molecule (PC00207),5,0.001,0.001
protein-binding activity modulator (PC00095),200,0.02,0.02
viral or transposable element protein (PC00237),9,0.001,0.001
RNA metabolism protein (PC00031),335,0.034,0.034
calcium-binding protein (PC00060),4,0.0,0.0
gene-specific transcriptional regulator (PC00264),133,0.013,0.013
defense/immunity protein (PC00090),2,0.0,0.0
translational protein (PC00263),147,0.015,0.015
metabolite interconversion enzyme (PC00262),5275,0.528,0.528
protein modifying enzyme (PC00260),737,0.074,0.074
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",31,0.003,0.003
transfer/carrier protein (PC00219),4,0.0,0.0
membrane traffic protein (PC00150),1,0.0,0.0
chaperone (PC00072),139,0.014,0.014
storage protein (PC00210),348,0.035,0.035
transmembrane signal receptor (PC00197),50,0.005,0.005
No PANTHER category is assigned (UNCLASSIFIED),1464,0.147,0.147
