category,Number of genes,Percentage,Genes
cellular process (GO:0009987),3853,0.363,0.244
reproductive process (GO:0022414),23,0.002,0.001
No PANTHER category is assigned (UNCLASSIFIED),6046,0.57,0.382
localization (GO:0051179),799,0.075,0.051
biological process involved in interspecies interaction between organisms (GO:0044419),8,0.001,0.001
detoxification (GO:0098754),2,0.0,0.0
reproduction (GO:0000003),24,0.002,0.002
biological regulation (GO:0065007),1063,0.1,0.067
response to stimulus (GO:0050896),757,0.071,0.048
homeostatic process (GO:0042592),321,0.03,0.02
pigmentation (GO:0043473),3,0.0,0.0
developmental process (GO:0032502),72,0.007,0.005
multicellular organismal process (GO:0032501),100,0.009,0.006
locomotion (GO:0040011),13,0.001,0.001
metabolic process (GO:0008152),2717,0.256,0.172
growth (GO:0040007),1,0.0,0.0
immune system process (GO:0002376),8,0.001,0.001
