category,Number of genes,Percentage,Genes
extracellular matrix protein (PC00102),10,0.0,0.0
cytoskeletal protein (PC00085),263,0.008,0.008
transporter (PC00227),1153,0.036,0.036
scaffold/adaptor protein (PC00226),214,0.007,0.007
DNA metabolism protein (PC00009),589,0.018,0.018
cell adhesion molecule (PC00069),47,0.001,0.001
intercellular signal molecule (PC00207),39,0.001,0.001
protein-binding activity modulator (PC00095),202,0.006,0.006
viral or transposable element protein (PC00237),182,0.006,0.006
RNA metabolism protein (PC00031),1625,0.051,0.051
calcium-binding protein (PC00060),6,0.0,0.0
gene-specific transcriptional regulator (PC00264),361,0.011,0.011
defense/immunity protein (PC00090),47,0.001,0.001
translational protein (PC00263),261,0.008,0.008
metabolite interconversion enzyme (PC00262),16463,0.515,0.515
protein modifying enzyme (PC00260),4196,0.131,0.131
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",294,0.009,0.009
transfer/carrier protein (PC00219),22,0.001,0.001
membrane traffic protein (PC00150),94,0.003,0.003
chaperone (PC00072),273,0.009,0.009
cell junction protein (PC00070),2,0.0,0.0
structural protein (PC00211),141,0.004,0.004
storage protein (PC00210),346,0.011,0.011
transmembrane signal receptor (PC00197),119,0.004,0.004
No PANTHER category is assigned (UNCLASSIFIED),5016,0.157,0.157
