category,Number of genes,Percentage,Genes
extracellular matrix protein (PC00102),12,0.0,0.0
cytoskeletal protein (PC00085),266,0.009,0.009
transporter (PC00227),1243,0.04,0.04
scaffold/adaptor protein (PC00226),224,0.007,0.007
DNA metabolism protein (PC00009),612,0.02,0.02
cell adhesion molecule (PC00069),13,0.0,0.0
intercellular signal molecule (PC00207),51,0.002,0.002
protein-binding activity modulator (PC00095),276,0.009,0.009
viral or transposable element protein (PC00237),27,0.001,0.001
RNA metabolism protein (PC00031),1580,0.051,0.051
calcium-binding protein (PC00060),4,0.0,0.0
gene-specific transcriptional regulator (PC00264),437,0.014,0.014
defense/immunity protein (PC00090),43,0.001,0.001
translational protein (PC00263),252,0.008,0.008
metabolite interconversion enzyme (PC00262),16584,0.536,0.536
protein modifying enzyme (PC00260),4211,0.136,0.136
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",274,0.009,0.009
transfer/carrier protein (PC00219),9,0.0,0.0
membrane traffic protein (PC00150),94,0.003,0.003
chaperone (PC00072),231,0.007,0.007
cell junction protein (PC00070),10,0.0,0.0
structural protein (PC00211),42,0.001,0.001
storage protein (PC00210),6,0.0,0.0
transmembrane signal receptor (PC00197),105,0.003,0.003
No PANTHER category is assigned (UNCLASSIFIED),4346,0.14,0.14
