category,Number of genes,Percentage,Genes
transporter activity (GO:0005215),590,0.022,0.02
No PANTHER category is assigned (UNCLASSIFIED),9743,0.367,0.33
translation regulator activity (GO:0045182),13,0.0,0.0
cargo receptor activity (GO:0038024),2,0.0,0.0
transcription regulator activity (GO:0140110),300,0.011,0.01
catalytic activity (GO:0003824),13750,0.518,0.465
molecular function regulator activity (GO:0098772),216,0.008,0.007
cytoskeletal motor activity (GO:0003774),152,0.006,0.005
ATP-dependent activity (GO:0140657),736,0.028,0.025
molecular transducer activity (GO:0060089),115,0.004,0.004
molecular adaptor activity (GO:0060090),77,0.003,0.003
antioxidant activity (GO:0016209),8,0.0,0.0
structural molecule activity (GO:0005198),143,0.005,0.005
binding (GO:0005488),3716,0.14,0.126
