category,Number of genes,Percentage,Genes
transporter activity (GO:0005215),527,0.02,0.018
No PANTHER category is assigned (UNCLASSIFIED),9795,0.373,0.338
translation regulator activity (GO:0045182),13,0.0,0.0
cargo receptor activity (GO:0038024),2,0.0,0.0
transcription regulator activity (GO:0140110),239,0.009,0.008
catalytic activity (GO:0003824),13667,0.52,0.472
molecular function regulator activity (GO:0098772),199,0.008,0.007
cytoskeletal motor activity (GO:0003774),119,0.005,0.004
ATP-dependent activity (GO:0140657),698,0.027,0.024
molecular transducer activity (GO:0060089),129,0.005,0.004
molecular adaptor activity (GO:0060090),89,0.003,0.003
antioxidant activity (GO:0016209),6,0.0,0.0
structural molecule activity (GO:0005198),117,0.004,0.004
binding (GO:0005488),3379,0.129,0.117
