category,Number of genes,Percentage,Genes
cellular process (GO:0009987),10840,0.362,0.234
reproductive process (GO:0022414),139,0.005,0.003
No PANTHER category is assigned (UNCLASSIFIED),15872,0.53,0.342
localization (GO:0051179),2196,0.073,0.047
biological process involved in interspecies interaction between organisms (GO:0044419),167,0.006,0.004
detoxification (GO:0098754),22,0.001,0.0
reproduction (GO:0000003),141,0.005,0.003
biological regulation (GO:0065007),3400,0.113,0.073
response to stimulus (GO:0050896),2398,0.08,0.052
homeostatic process (GO:0042592),395,0.013,0.009
pigmentation (GO:0043473),21,0.001,0.0
developmental process (GO:0032502),482,0.016,0.01
multicellular organismal process (GO:0032501),370,0.012,0.008
locomotion (GO:0040011),54,0.002,0.001
metabolic process (GO:0008152),9664,0.323,0.208
growth (GO:0040007),2,0.0,0.0
immune system process (GO:0002376),205,0.007,0.004
