category,Number of genes,Percentage,Genes
extracellular matrix protein (PC00102),10,0.0,0.0
cytoskeletal protein (PC00085),688,0.023,0.023
transporter (PC00227),1207,0.04,0.04
scaffold/adaptor protein (PC00226),250,0.008,0.008
DNA metabolism protein (PC00009),852,0.028,0.028
cell adhesion molecule (PC00069),53,0.002,0.002
intercellular signal molecule (PC00207),155,0.005,0.005
protein-binding activity modulator (PC00095),348,0.012,0.012
viral or transposable element protein (PC00237),183,0.006,0.006
RNA metabolism protein (PC00031),1647,0.055,0.055
calcium-binding protein (PC00060),5,0.0,0.0
gene-specific transcriptional regulator (PC00264),529,0.018,0.018
defense/immunity protein (PC00090),101,0.003,0.003
translational protein (PC00263),264,0.009,0.009
metabolite interconversion enzyme (PC00262),13515,0.451,0.451
protein modifying enzyme (PC00260),4634,0.155,0.155
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",318,0.011,0.011
transfer/carrier protein (PC00219),28,0.001,0.001
membrane traffic protein (PC00150),93,0.003,0.003
chaperone (PC00072),222,0.007,0.007
cell junction protein (PC00070),4,0.0,0.0
structural protein (PC00211),147,0.005,0.005
transmembrane signal receptor (PC00197),170,0.006,0.006
No PANTHER category is assigned (UNCLASSIFIED),4540,0.152,0.152
