category,Number of genes,Percentage,Genes
cellular process (GO:0009987),4578,0.28,0.199
reproductive process (GO:0022414),23,0.001,0.001
No PANTHER category is assigned (UNCLASSIFIED),10943,0.67,0.475
localization (GO:0051179),1459,0.089,0.063
biological process involved in interspecies interaction between organisms (GO:0044419),8,0.0,0.0
detoxification (GO:0098754),20,0.001,0.001
reproduction (GO:0000003),24,0.001,0.001
biological regulation (GO:0065007),1083,0.066,0.047
response to stimulus (GO:0050896),790,0.048,0.034
homeostatic process (GO:0042592),337,0.021,0.015
pigmentation (GO:0043473),3,0.0,0.0
developmental process (GO:0032502),108,0.007,0.005
multicellular organismal process (GO:0032501),94,0.006,0.004
locomotion (GO:0040011),31,0.002,0.001
metabolic process (GO:0008152),3504,0.215,0.152
growth (GO:0040007),1,0.0,0.0
immune system process (GO:0002376),10,0.001,0.0
