category,Number of genes,Percentage,Genes
transporter activity (GO:0005215),555,0.019,0.016
No PANTHER category is assigned (UNCLASSIFIED),10796,0.366,0.313
translation regulator activity (GO:0045182),11,0.0,0.0
cargo receptor activity (GO:0038024),1,0.0,0.0
transcription regulator activity (GO:0140110),94,0.003,0.003
catalytic activity (GO:0003824),15855,0.537,0.46
molecular function regulator activity (GO:0098772),172,0.006,0.005
cytoskeletal motor activity (GO:0003774),41,0.001,0.001
ATP-dependent activity (GO:0140657),691,0.023,0.02
molecular transducer activity (GO:0060089),77,0.003,0.002
molecular adaptor activity (GO:0060090),75,0.003,0.002
antioxidant activity (GO:0016209),2428,0.082,0.07
structural molecule activity (GO:0005198),125,0.004,0.004
binding (GO:0005488),3538,0.12,0.103
