category,Number of genes,Percentage,Genes
extracellular matrix protein (PC00102),33,0.001,0.001
cytoskeletal protein (PC00085),189,0.005,0.005
transporter (PC00227),1215,0.031,0.031
scaffold/adaptor protein (PC00226),170,0.004,0.004
DNA metabolism protein (PC00009),841,0.021,0.021
cell adhesion molecule (PC00069),35,0.001,0.001
intercellular signal molecule (PC00207),41,0.001,0.001
protein-binding activity modulator (PC00095),262,0.007,0.007
viral or transposable element protein (PC00237),184,0.005,0.005
RNA metabolism protein (PC00031),1555,0.039,0.039
calcium-binding protein (PC00060),24,0.001,0.001
gene-specific transcriptional regulator (PC00264),443,0.011,0.011
defense/immunity protein (PC00090),33,0.001,0.001
translational protein (PC00263),337,0.008,0.008
metabolite interconversion enzyme (PC00262),19405,0.489,0.489
protein modifying enzyme (PC00260),5978,0.151,0.151
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",385,0.01,0.01
transfer/carrier protein (PC00219),62,0.002,0.002
membrane traffic protein (PC00150),137,0.003,0.003
chaperone (PC00072),363,0.009,0.009
cell junction protein (PC00070),6,0.0,0.0
structural protein (PC00211),28,0.001,0.001
transmembrane signal receptor (PC00197),313,0.008,0.008
No PANTHER category is assigned (UNCLASSIFIED),7641,0.193,0.193
