category,Number of genes,Percentage,Genes
transporter activity (GO:0005215),623,0.019,0.016
No PANTHER category is assigned (UNCLASSIFIED),12081,0.374,0.317
translation regulator activity (GO:0045182),12,0.0,0.0
cargo receptor activity (GO:0038024),2,0.0,0.0
transcription regulator activity (GO:0140110),413,0.013,0.011
catalytic activity (GO:0003824),16786,0.52,0.441
molecular function regulator activity (GO:0098772),256,0.008,0.007
cytoskeletal motor activity (GO:0003774),192,0.006,0.005
ATP-dependent activity (GO:0140657),825,0.026,0.022
molecular transducer activity (GO:0060089),146,0.005,0.004
molecular adaptor activity (GO:0060090),105,0.003,0.003
antioxidant activity (GO:0016209),2428,0.075,0.064
structural molecule activity (GO:0005198),129,0.004,0.003
binding (GO:0005488),4094,0.127,0.107
