category,Number of genes,Percentage,Genes
cellular process (GO:0009987),4143,0.243,0.182
reproductive process (GO:0022414),28,0.002,0.001
No PANTHER category is assigned (UNCLASSIFIED),12049,0.705,0.529
localization (GO:0051179),871,0.051,0.038
biological process involved in interspecies interaction between organisms (GO:0044419),20,0.001,0.001
detoxification (GO:0098754),19,0.001,0.001
reproduction (GO:0000003),30,0.002,0.001
biological regulation (GO:0065007),1083,0.063,0.048
response to stimulus (GO:0050896),818,0.048,0.036
homeostatic process (GO:0042592),334,0.02,0.015
pigmentation (GO:0043473),1,0.0,0.0
developmental process (GO:0032502),72,0.004,0.003
rhythmic process (GO:0048511),1,0.0,0.0
multicellular organismal process (GO:0032501),102,0.006,0.004
metabolic process (GO:0008152),3186,0.187,0.14
growth (GO:0040007),1,0.0,0.0
immune system process (GO:0002376),14,0.001,0.001
