category,Number of genes,Percentage,Genes
cellular process (GO:0009987),4143,24.30%,18.20%
reproductive process (GO:0022414),28,0.20%,0.10%
No PANTHER category is assigned (UNCLASSIFIED),12049,70.50%,52.90%
localization (GO:0051179),871,5.10%,3.80%
biological process involved in interspecies interaction between organisms (GO:0044419),20,0.10%,0.10%
detoxification (GO:0098754),19,0.10%,0.10%
reproduction (GO:0000003),30,0.20%,0.10%
biological regulation (GO:0065007),1083,6.30%,4.80%
response to stimulus (GO:0050896),818,4.80%,3.60%
homeostatic process (GO:0042592),334,2.00%,1.50%
pigmentation (GO:0043473),1,0.00%,0.00%
developmental process (GO:0032502),72,0.40%,0.30%
rhythmic process (GO:0048511),1,0.00%,0.00%
multicellular organismal process (GO:0032501),102,0.60%,0.40%
metabolic process (GO:0008152),3186,18.70%,14.00%
growth (GO:0040007),1,0.00%,0.00%
immune system process (GO:0002376),14,0.10%,0.10%
