category,Number of genes,Percentage,Genes
extracellular matrix protein (PC00102),10,0.0,0.0
cytoskeletal protein (PC00085),283,0.011,0.011
transporter (PC00227),1128,0.042,0.042
scaffold/adaptor protein (PC00226),210,0.008,0.008
DNA metabolism protein (PC00009),766,0.029,0.029
cell adhesion molecule (PC00069),13,0.0,0.0
intercellular signal molecule (PC00207),66,0.002,0.002
protein-binding activity modulator (PC00095),277,0.01,0.01
viral or transposable element protein (PC00237),8,0.0,0.0
RNA metabolism protein (PC00031),1521,0.057,0.057
calcium-binding protein (PC00060),3,0.0,0.0
gene-specific transcriptional regulator (PC00264),384,0.014,0.014
defense/immunity protein (PC00090),25,0.001,0.001
translational protein (PC00263),249,0.009,0.009
metabolite interconversion enzyme (PC00262),12947,0.485,0.485
protein modifying enzyme (PC00260),4247,0.159,0.159
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",313,0.012,0.012
transfer/carrier protein (PC00219),27,0.001,0.001
membrane traffic protein (PC00150),86,0.003,0.003
chaperone (PC00072),203,0.008,0.008
cell junction protein (PC00070),2,0.0,0.0
structural protein (PC00211),124,0.005,0.005
storage protein (PC00210),6,0.0,0.0
transmembrane signal receptor (PC00197),133,0.005,0.005
No PANTHER category is assigned (UNCLASSIFIED),3637,0.136,0.136
