category,Number of genes,Percentage,Genes
transporter activity (GO:0005215),820,0.02,0.016
No PANTHER category is assigned (UNCLASSIFIED),15662,0.375,0.31
translation regulator activity (GO:0045182),28,0.001,0.001
cargo receptor activity (GO:0038024),3,0.0,0.0
transcription regulator activity (GO:0140110),2041,0.049,0.04
catalytic activity (GO:0003824),19628,0.47,0.388
molecular function regulator activity (GO:0098772),609,0.015,0.012
cytoskeletal motor activity (GO:0003774),354,0.008,0.007
ATP-dependent activity (GO:0140657),1072,0.026,0.021
molecular transducer activity (GO:0060089),404,0.01,0.008
molecular adaptor activity (GO:0060090),124,0.003,0.002
antioxidant activity (GO:0016209),2431,0.058,0.048
structural molecule activity (GO:0005198),164,0.004,0.003
binding (GO:0005488),7238,0.173,0.143
