category,Number of genes,Percentage,Genes
extracellular matrix protein (PC00102),15,0.0,0.0
cytoskeletal protein (PC00085),985,0.024,0.024
transporter (PC00227),1397,0.033,0.033
scaffold/adaptor protein (PC00226),637,0.015,0.015
DNA metabolism protein (PC00009),834,0.02,0.02
cell adhesion molecule (PC00069),42,0.001,0.001
intercellular signal molecule (PC00207),187,0.004,0.004
protein-binding activity modulator (PC00095),634,0.015,0.015
viral or transposable element protein (PC00237),186,0.004,0.004
RNA metabolism protein (PC00031),1951,0.047,0.047
calcium-binding protein (PC00060),51,0.001,0.001
gene-specific transcriptional regulator (PC00264),1937,0.046,0.046
defense/immunity protein (PC00090),142,0.003,0.003
translational protein (PC00263),289,0.007,0.007
metabolite interconversion enzyme (PC00262),17613,0.422,0.422
protein modifying enzyme (PC00260),5983,0.143,0.143
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",531,0.013,0.013
transfer/carrier protein (PC00219),42,0.001,0.001
membrane traffic protein (PC00150),261,0.006,0.006
chaperone (PC00072),294,0.007,0.007
cell junction protein (PC00070),9,0.0,0.0
structural protein (PC00211),202,0.005,0.005
storage protein (PC00210),6,0.0,0.0
transmembrane signal receptor (PC00197),398,0.01,0.01
No PANTHER category is assigned (UNCLASSIFIED),7126,0.171,0.171
