category,Number of genes,Percentage,Genes
transporter activity (GO:0005215),532,0.02,0.017
No PANTHER category is assigned (UNCLASSIFIED),10648,0.406,0.341
translation regulator activity (GO:0045182),12,0.0,0.0
cargo receptor activity (GO:0038024),2,0.0,0.0
transcription regulator activity (GO:0140110),125,0.005,0.004
catalytic activity (GO:0003824),13173,0.502,0.422
molecular function regulator activity (GO:0098772),181,0.007,0.006
cytoskeletal motor activity (GO:0003774),126,0.005,0.004
ATP-dependent activity (GO:0140657),741,0.028,0.024
molecular transducer activity (GO:0060089),40,0.002,0.001
molecular adaptor activity (GO:0060090),69,0.003,0.002
antioxidant activity (GO:0016209),2430,0.093,0.078
structural molecule activity (GO:0005198),119,0.005,0.004
binding (GO:0005488),2997,0.114,0.096
