Chemical Name,shape,coating,diameter mean,diameter Units,Chemical Purity Mean,surface (m2/g),size mean,Size Units,Dissolution,zp mean,zp Units,Species group,Species Scientific Name,media type,illumination,Endpoint,Duration,Observed Duration Units,Toxicity Conc Mean,Toxicity Conc Units,authors,title,journal,vol,issue,year,id
"Ag","spherical","dispersant polyoxyethylene glycerol trioleate and polyoxyethylene (20) sorbitan monolaurate (Tween 20)","15","nm","89.84"," ","115  mode 95 nm at 1000 µM; mean 200 nm, mode 210 nm at 10 µM","nm","5-11% at 1000 µM; 1-2% at 10 µM","-10.3","mV","algae","Raphidocelis subcapitata","0.01M 3-morpholino propane sulfonic acid buffer (pH 7.0) in a reconstituted medium consisting of 1.36mM Ca(NO3)2, 0.73mM Mg(NO3)2, 1.19mM NaNO3, and 0.20mM KNO3"," ","EC50","4.5","h","8.31","µM","Wang, Zhuang; Chen, Jingwen; Li, Xuehua; Shao, Jianping; Peijnenburg, Willie J. G. M.","Aquatic toxicity of nanosilver colloids to different trophic organisms: Contributions of particles and free silver ion","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","31","10","2012","1"
"Ag","spherical","noncoated","35","nm","99.5","40","115  mode 95 nm at 1000 µM; mean 200 nm, mode 210 nm at 10 µM","nm","2-3% at 1000 µM; 2-12% at 10 µM","-23.2","mV","algae","Raphidocelis subcapitata","0.01M 3-morpholino propane sulfonic acid buffer (pH 7.0) in a reconstituted medium consisting of 1.36mM Ca(NO3)2, 0.73mM Mg(NO3)2, 1.19mM NaNO3, and 0.20mM KNO3"," ","EC50","4.5","h","196.55","µM","Wang, Zhuang; Chen, Jingwen; Li, Xuehua; Shao, Jianping; Peijnenburg, Willie J. G. M.","Aquatic toxicity of nanosilver colloids to different trophic organisms: Contributions of particles and free silver ion","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","31","10","2012","2"
"Ag","spherical","polyvinylpyrrolidone (PVP)","80","nm","0.999"," ","115 mode 95 nm at 1000 µM; mean 200 nm, mode 210 nm at 10 µM","nm","1-5% at 1000 µM; 2-25% at 10 µM","-24.1","mV","algae","Raphidocelis subcapitata","0.01M 3-morpholino propane sulfonic acid buffer (pH 7.0) in a reconstituted medium consisting of 1.36mM Ca(NO3)2, 0.73mM Mg(NO3)2, 1.19mM NaNO3, and 0.20mM KNO3"," ","EC50","4.5","h","37.14","µM","Wang, Zhuang; Chen, Jingwen; Li, Xuehua; Shao, Jianping; Peijnenburg, Willie J. G. M.","Aquatic toxicity of nanosilver colloids to different trophic organisms: Contributions of particles and free silver ion","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","31","10","2012","3"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli JI132 (pSLlux) sodAB−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","0.5","h","17.9","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","4"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli JI131 (pSLlux) sodB−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","2","h","18.8","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","5"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli AS393 (pSLlux) sodC−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","2","h","19.7","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","6"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli AS391 (pSLlux) sodABC−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","2","h","3.11","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","7"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli JI132 (pSLlux) sodAB−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","2","h","3.79","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","8"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli JI130 (pSLlux) sodA−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","2","h","30.9","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","9"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli AS393 (pSLlux) sodC−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","30","min","329","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","10"
